order,seasonal_order,bic,aic
"(1, 1, 0)","(2, 1, 0, 24)",26863.267776236204,26840.69576169396
"(1, 1, 1)","(2, 1, 0, 24)",26870.809961809187,26842.594943631382
"(1, 1, 2)","(2, 1, 0, 24)",26878.131667267447,26844.273645454083
"(0, 1, 2)","(2, 1, 0, 24)",26890.66350024299,26862.446085707605
"(0, 1, 1)","(2, 1, 0, 24)",26903.02413789221,26880.450206263904
"(0, 1, 0)","(2, 1, 0, 24)",27120.65566939786,27103.725220676628
"(1, 1, 0)","(1, 1, 0, 24)",27410.30904625203,27393.34571657262
"(1, 1, 1)","(1, 1, 0, 24)",27417.933383615527,27395.315610709647
"(1, 1, 2)","(1, 1, 0, 24)",27425.53557999583,27397.26336386348
"(0, 1, 2)","(1, 1, 0, 24)",27436.32492940311,27413.705261211715
