order,seasonal_order,bic,aic
"(1, 1, 1)","(2, 1, 0, 24)",23505.651504278085,23477.43648610028
"(1, 1, 2)","(2, 1, 0, 24)",23512.27570569518,23478.417683881817
"(0, 1, 2)","(2, 1, 0, 24)",23515.145822429273,23486.928407893887
"(0, 1, 1)","(2, 1, 0, 24)",23518.351094759782,23495.777163131475
"(1, 1, 0)","(2, 1, 0, 24)",23519.17618912113,23496.60417457889
"(0, 1, 0)","(2, 1, 0, 24)",23809.664986840042,23792.73453811881
"(1, 1, 1)","(1, 1, 0, 24)",24021.083627056414,23998.465854150534
"(1, 1, 2)","(1, 1, 0, 24)",24027.02604502809,23998.75382889574
"(0, 1, 2)","(1, 1, 0, 24)",24030.793974963577,24008.174306772184
"(1, 1, 0)","(1, 1, 0, 24)",24037.067031451177,24020.103701771768
