country,split,model,rows,MASE,sMAPE,MSE,RMSE,MAPE,PI_80_Coverage
BE,dev,SARIMA,5040,0.6415262876072274,3.649651151877752,260586.76073539688,510.47699334582836,3.676243099157313,0.8382936507936508
BE,dev,GRU,116376,0.8590202934672093,2.580894933485016,122924.50060620825,350.60590497909226,2.5896069893414673,0.835455764075067
BE,test,SARIMA,5040,0.6767386811732449,3.9147472758193747,216320.15358700734,465.1023044309793,3.9199644329484307,0.8416666666666667
BE,test,GRU,116376,1.154589029214008,3.1723114276141122,144581.0622930142,380.2381652241319,3.2106847330472914,0.8182357187048876
DK,dev,SARIMA,5039,0.5926933878930101,3.374050227164307,45816.24215266034,214.0472895242085,3.397354125661985,0.8644572335780909
DK,dev,GRU,116352,0.6747790233905145,2.9379161032436265,30118.521324719484,173.54688509080043,2.907465688051963,0.8507975797579758
DK,test,SARIMA,5041,0.6790244696278883,3.6509376674124976,38987.440808680556,197.45237605225356,3.656635697955817,0.8817694901805198
DK,test,GRU,116400,0.7855235166263415,3.1289051019256844,23152.06198935124,152.1580165135943,3.0904904864155793,0.8256271477663231
NL,dev,SARIMA,5040,0.5802891647873375,3.2424888195833566,468728.3568329525,684.6373907645948,3.264414839797299,0.9140873015873016
NL,dev,GRU,116376,0.8076704459243944,2.7769316323185746,335902.9630626534,579.5713614928306,2.810789352674736,0.8539647349969066
NL,test,SARIMA,5040,0.7039805632952904,4.457058119934194,604637.9442370716,777.5846862156376,4.474555436794123,0.9154761904761904
NL,test,GRU,116376,1.9951757773576453,6.0918873543270795,935365.7325974164,967.1430776247206,6.1741915038011355,0.8477263353268715
